Dataset ID,Dataset Name,Column,Prediction,Sample
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['1N4BZ1CP3K', 'JTDKARFP8H', 'KNDCE3LG6L', 'WBY8P8C53K', 'JTDKARFP5K']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Skagit', 'Snohomish', 'King', 'Yakima', 'Snohomish']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Edmonds', 'Yakima', 'Seattle', 'Olympia', 'Snohomish']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98903', '98392', '98516', '98901', '99362']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2018', '2021', '2018', '2017', '2017']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['KIA', 'JEEP', 'NISSAN', 'TESLA', 'BMW']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['MODEL 3', 'LEAF', 'I3', 'LEAF', 'MODEL 3']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['220', '75', '14', '149', '266']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['1', '36', '37', '43', '26']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['186133', '476733162', '260749422', '150126840', '156773144']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.179458 47.802589)', 'POINT (-122.89692 47.043535)',
 'POINT (-122.89692 47.043535)', 'POINT (-120.477805 46.553505)',
 'POINT (-122.85403 46.856085)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', 'PACIFICORP',
 'PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53033020500', '53061052112', '53061050101', '53077002803', '53061041607']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['5UXTA6C03N', '5YJ3E1EA2H', '5YJYGDEE5L', '5YJSA1E2XH', '5YJ3E1EBXL']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['King', 'King', 'Snohomish', 'King', 'Thurston']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Everett', 'Everett', 'Seattle', 'Yakima', 'Brier']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98221', '98056', '99203', '98908', '98021']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2020', '2020', '2020', '2019', '2019']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['KIA', 'KIA', 'NISSAN', 'RIVIAN', 'BMW']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['I8', 'LEAF', '500', 'LEAF', 'MODEL Y']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)',
 'Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Eligibility unknown as battery range has not been researched',
 'Not eligible due to low battery range',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['291', '21', '238', '258', '239']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['34', '13', '26', '14', '23']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['131685669', '240642909', '211250833', '280295410', '113323024']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.344125 47.61546)', 'POINT (-122.374105 47.54468)',
 'POINT (-122.2247757 47.9156409)', 'POINT (-122.316675 47.819365)',
 'POINT (-120.500225 46.6043)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', 'PUGET SOUND ENERGY INC']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53061051914', '53033007203', '53061052107', '53067012730', '53061052010']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['1N4BZ0CP3G', '5YJ3E1EA5K', 'WA1E2AFY4M', 'KNDCE3LG6L', '5YJ3E1EB1J']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['King', 'Snohomish', 'Spokane', 'Snohomish', 'Snohomish']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Seattle', 'Everett', 'Edmonds', 'Pacific', 'Yakima']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98902', '98121', '98296', '98109', '98020']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2013', '2015', '2016', '2018', '2019']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['AUDI', 'TOYOTA', 'BMW', 'TESLA', 'NISSAN']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['MODEL S', 'FORTWO', 'OPTIMA', 'SOUL', 'MODEL 3']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['18', '107', '322', '249', '75']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['1', '46', '22', '20', '1']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['474854215', '262782089', '156686106', '261128430', '240088978']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.30823 47.581975)', 'POINT (-122.8285 47.03646)',
 'POINT (-120.6027202 46.5965625)', 'POINT (-122.85403 46.856085)',
 'POINT (-122.2247757 47.9156409)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', 'PACIFICORP',
 'PACIFICORP', 'PACIFICORP']"
